15:31:02.533 [main] INFO  attempt.Test - poolParent:[class path: java.lang.Object.class:]
15:31:02.534 [main] INFO  attempt.Test - ---------
15:31:02.534 [main] INFO  attempt.Test - poolParent:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:02.535 [main] INFO  attempt.Test - ---------
15:31:02.535 [main] INFO  attempt.Test - poolParent:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:02.535 [main] INFO  attempt.Test - ---------
15:31:02.535 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:02.535 [main] INFO  attempt.Test - poolParent:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:02.535 [main] INFO  attempt.Test - args:[Ljava.lang.String;@5a8e6209
15:31:02.535 [main] INFO  attempt.Test - ---------
15:31:02.581 [main] INFO  attempt.Test - options:[]
15:31:02.581 [main] INFO  attempt.Test - fileObjects:[RegularFileObject[/Users/liushanchen/IdeaProjects/Test4Javassist/src/main/java/attempt/Test1.java]]
15:31:02.581 [main] INFO  attempt.Test - fileManager:com.sun.tools.javac.file.JavacFileManager@480bdb19
15:31:02.581 [main] INFO  attempt.Test - javaCompiler:com.sun.tools.javac.api.JavacTool@2a556333
15:31:02.581 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:02.581 [main] INFO  attempt.Test - ---------
15:31:02.581 [main] INFO  attempt.Test - options:[-g]
15:31:02.581 [main] INFO  attempt.Test - fileObjects:[RegularFileObject[/Users/liushanchen/IdeaProjects/Test4Javassist/src/main/java/attempt/Test1.java]]
15:31:02.581 [main] INFO  attempt.Test - fileManager:com.sun.tools.javac.file.JavacFileManager@480bdb19
15:31:02.581 [main] INFO  attempt.Test - javaCompiler:com.sun.tools.javac.api.JavacTool@2a556333
15:31:02.581 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:02.581 [main] INFO  attempt.Test - ---------
15:31:02.581 [main] INFO  attempt.Test - options:[-g, -d]
15:31:02.582 [main] INFO  attempt.Test - fileObjects:[RegularFileObject[/Users/liushanchen/IdeaProjects/Test4Javassist/src/main/java/attempt/Test1.java]]
15:31:02.582 [main] INFO  attempt.Test - fileManager:com.sun.tools.javac.file.JavacFileManager@480bdb19
15:31:02.582 [main] INFO  attempt.Test - javaCompiler:com.sun.tools.javac.api.JavacTool@2a556333
15:31:02.582 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:02.582 [main] INFO  attempt.Test - ---------
15:31:02.591 [main] INFO  attempt.Test - cTask:com.sun.tools.javac.api.JavacTaskImpl@6b57696f
15:31:02.592 [main] INFO  attempt.Test - options:[-g, -d, /Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/]
15:31:02.592 [main] INFO  attempt.Test - fileObjects:[RegularFileObject[/Users/liushanchen/IdeaProjects/Test4Javassist/src/main/java/attempt/Test1.java]]
15:31:02.592 [main] INFO  attempt.Test - fileManager:com.sun.tools.javac.file.JavacFileManager@480bdb19
15:31:02.592 [main] INFO  attempt.Test - javaCompiler:com.sun.tools.javac.api.JavacTool@2a556333
15:31:02.592 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:02.592 [main] INFO  attempt.Test - ---------
15:31:03.138 [main] INFO  attempt.Test - cTask:com.sun.tools.javac.api.JavacTaskImpl@6b57696f
15:31:03.138 [main] INFO  attempt.Test - options:[-g, -d, /Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/]
15:31:03.138 [main] INFO  attempt.Test - fileObjects:[RegularFileObject[/Users/liushanchen/IdeaProjects/Test4Javassist/src/main/java/attempt/Test1.java]]
15:31:03.138 [main] INFO  attempt.Test - fileManager:com.sun.tools.javac.file.JavacFileManager@480bdb19
15:31:03.138 [main] INFO  attempt.Test - javaCompiler:com.sun.tools.javac.api.JavacTool@2a556333
15:31:03.138 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:03.138 [main] INFO  attempt.Test - ---------
15:31:03.138 [main] INFO  attempt.Test - targetClass:attempt.Test1
15:31:03.138 [main] INFO  attempt.Test - targetFile:attempt/Test1.java
15:31:03.138 [main] INFO  attempt.Test - poolParent:[class path: java.lang.Object.class:/Users/liushanchen/IdeaProjects/Test4Javassist/build/classes/main/:]
15:31:03.138 [main] INFO  attempt.Test - args:[Ljava.lang.String;@5a8e6209
15:31:03.138 [main] INFO  attempt.Test - ---------
